Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
6/30/2010,2010,2,20102,45,11,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1000000,5400000,6900000,170,0.857142857,5600000
3/31/2010,2010,1,20101,44,11,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1000000,5400000,6900000,170,0.857142857,5600000
12/31/2009,2009,4,20094,43,10,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2300000,5400000,5600000,170,0.857142857,5600000
9/30/2009,2009,3,20093,42,10,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2000000,5300000,5000000,170,0.857142857,5600000
6/30/2009,2009,2,20092,41,10,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1900000,5300000,5000000,170,0.857142857,5600000
3/31/2009,2009,1,20091,40,10,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1600000,5300000,5000000,170,0.857142857,5600000
12/31/2008,2008,4,20084,39,9,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1700000,5300000,5000000,170,0.857142857,5600000
9/30/2008,2008,3,20083,38,9,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1900000,5300000,5000000,170,0.857142857,5600000
6/30/2008,2008,2,20082,37,9,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2200000,5300000,4800000,170,0.857142857,5600000
3/31/2008,2008,1,20081,36,9,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2000000,5300000,4700000,170,0.857142857,5600000
12/31/2007,2007,4,20074,35,8,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1800000,5300000,4700000,170,0.857142857,5600000
9/30/2007,2007,3,20073,34,8,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1300000,5300000,4700000,170,0.857142857,5600000
