Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
12/31/2012,2012,4,20124,43,10,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,5282184,6654967,4371603,321.3,0.903846154,6654967
9/30/2012,2012,3,20123,42,10,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,5087104,6654967,4371603,321.3,0.903846154,6654967
6/30/2012,2012,2,20122,41,10,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,5236012,6654967,4371603,321.3,0.903846154,6654967
3/31/2012,2012,1,20121,40,10,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,5186366,6654967,4371603,321.3,0.903846154,6654967
12/31/2011,2011,4,20114,39,9,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,5128228,6654967,4371603,321.3,0.903846154,6654967
9/30/2011,2011,3,20113,38,9,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,5924613,6654967,4078137,321.3,0.903846154,6654967
6/30/2011,2011,2,20112,37,9,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,6794315,6654967,4078137,321.3,0.903846154,6654967
3/31/2011,2011,1,20111,36,9,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,5537734,6654967,4078137,321.3,0.903846154,6654967
12/31/2010,2010,4,20104,35,8,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,5310881,6654967,4078137,321.3,0.903846154,6654967
9/30/2010,2010,3,20103,34,8,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4619915,6654967,4071485,321.3,0.903846154,6654967
6/30/2010,2010,2,20102,33,8,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,3615045,6654967,4071485,321.3,0.903846154,6654967
12/31/2009,2009,4,20094,31,7,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4444339,6654967,4071485,321.3,0.903846154,6654967
6/30/2009,2009,2,20092,29,7,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,3847571,6654967,3892042,321.3,0.903846154,6654967
3/31/2009,2009,1,20091,28,7,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4355042,6654967,2892376,321.3,0.903846154,6654967
12/31/2008,2008,4,20084,27,6,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,3508885,6654967,2892376,321.3,0.903846154,6654967
9/30/2008,2008,3,20083,26,6,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4737293,6144146,1825072,321.3,0.903846154,6735030
6/30/2008,2008,2,20082,25,6,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4514456,6144146,1825072,321.3,0.903846154,6811579
3/31/2008,2008,1,20081,24,6,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4297617,5896866,1809092,321.3,0.903846154,6819789
12/31/2007,2007,4,20074,23,5,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4294243,5896866,1809092,321.3,0.903846154,6754493
9/30/2007,2007,3,20073,22,5,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4551589,5742493,1654719,321.3,0.903846154,6752593
6/30/2007,2007,2,20072,21,5,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,5245961,5742493,942143,321.3,0.903846154,6693443
3/31/2007,2007,1,20071,20,5,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,5045192,5236201,494203,321.3,0.903846154,6665201
12/31/2006,2006,4,20064,19,4,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4920434,5236201,345409,321.3,0.903846154,6697201
9/30/2006,2006,3,20063,18,4,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4256796,4873770,318113,321.3,0.903846154,6582520
6/30/2006,2006,2,20062,17,4,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,4256623,4594640,184228,321.3,0.903846154,6568091
3/31/2006,2006,1,20061,16,4,12675,Healthcap IV,Venture Capital,HealthCap Ventures,1/1/2002,2002,1,Europe,11994,California Public Employees Retirement System,103184,3478169,4317055,97256,321.3,0.903846154,6438955
